"CodeCom";"NomCom";"CodeDep";"AnneeCreationCom";"PopDGF2017";"PopDGF2018";"PopInsee2018";"DF2016";"DF2017";"DF2018";"PF4Taxes2017";"PF4Taxes2018";"RRF2018";"PartDynPop";"MtEcretement"
"37009";"AUTRECHE";"37";2014;444;446;430;29830;27393;27177;229879;243661;258853;129;345
"37010";"AUZOUER-EN-TOURAINE";"37";2014;2281;2291;2268;185283;176333;177141;991242;1004898;1147916;808;0
"37011";"AVOINE";"37";2014;1838;1819;1782;0;0;0;8658140;8694875;6835933;0;0
"37012";"AVON-LES-ROCHES";"37";2014;596;592;558;68583;63405;63140;221589;233006;445494;-265;0
"37013";"AVRILLE-LES-PONCEAUX";"37";2014;530;533;492;28293;25243;25438;246533;247536;439128;195;0
"37014";"AZAY-LE-RIDEAU";"37";2014;3724;3728;3534;413292;379595;379939;2080352;2383648;3473117;344;0
"37015";"AZAY-SUR-CHER";"37";2014;3184;3177;3111;304297;280769;277325;2191912;2121439;2159843;-591;2853
"37016";"AZAY-SUR-INDRE";"37";2014;424;424;395;32375;29347;28789;234604;206522;255375;0;558
"37018";"BALLAN-MIRE";"37";2014;8170;8108;8052;1095324;999361;986981;6225843;6297127;8550223;-5855;6525
"37019";"BARROU";"37";2014;579;568;508;64990;60058;58780;315033;327516;372448;-724;554
"37020";"BEAULIEU-LES-LOCHES";"37";2014;1895;1889;1844;191337;177427;175228;1220620;1089284;1180948;-473;1726
"37021";"BEAUMONT-LOUESTAULT";"37";2016;1691;1737;1689;159003;169478;173060;830462;784829;910705;3582;0
"37022";"BEAUMONT-EN-VERON";"37";2014;2915;2903;2825;247087;213000;194258;3846700;3709526;1774133;-1001;17741
"37023";"BEAUMONT-VILLAGE";"37";2014;308;310;284;33634;20254;19359;209734;239509;225427;129;1024
"37024";"BENAIS";"37";2014;1042;1023;979;87171;80281;78910;516696;537888;663447;-1371;0
"37025";"BERTHENAY";"37";2014;757;736;729;84734;79809;78050;401069;457383;369700;-1441;318
"37026";"BETZ-LE-CHATEAU";"37";2014;647;649;584;77268;73057;72851;338602;339975;431324;135;341
"37027";"BLERE";"37";2014;5520;5539;5417;503021;462006;463722;3520189;3538616;4466970;1716;0
"37028";"BOSSAY-SUR-CLAISE";"37";2014;932;916;785;110295;103801;102440;497709;522225;688980;-1136;225
"37029";"BOSSEE";"37";2014;356;356;339;36584;33763;33637;174907;214922;335857;0;126
"37030";"BOULAY";"37";2014;858;865;829;59895;56029;56522;434862;441817;522832;493;0
"37031";"BOURGUEIL";"37";2014;4168;4153;4003;538978;494434;489847;2929912;2997040;3988190;-1309;3278
"37032";"BOURNAN";"37";2014;303;302;281;30267;28646;28582;130043;164401;193813;-64;0
"37033";"BOUSSAY";"37";2014;336;319;257;38357;35320;33690;193606;199780;246274;-1096;534
"37034";"BRASLOU";"37";2014;344;344;314;37499;35060;34837;175475;195202;259422;0;223
"37035";"BRAYE-SOUS-FAYE";"37";2014;367;369;344;32893;31658;31787;148050;164406;217991;129;0
"37036";"BRAYE-SUR-MAULNE";"37";2014;217;206;183;27850;26184;25475;97162;96430;140326;-709;0
"37037";"BRECHES";"37";2014;338;338;315;40663;39201;39201;128126;128941;192724;0;0
"37038";"BREHEMONT";"37";2014;869;866;784;100120;94369;94158;305157;372236;593462;-211;0
"37039";"BRIDORE";"37";2014;559;556;540;66621;61578;61201;278472;240863;379314;-197;180
"37040";"BRIZAY";"37";2014;315;310;300;33757;31355;31033;138346;145798;165583;-322;0
"37041";"BUEIL-EN-TOURAINE";"37";2014;348;349;328;49730;47055;47119;162683;173749;277431;64;0
"37042";"CANDES-SAINT-MARTIN";"37";2014;296;294;230;42849;38055;35718;306692;292822;220758;-129;2208
"37043";"CANGEY";"37";2014;1134;1129;1087;114023;108392;107731;625282;636947;547484;-366;295
"37044";"CELLE-GUENAND";"37";2014;422;419;376;49827;46640;46227;211741;217884;279007;-193;220
"37045";"CELLE-SAINT-AVANT";"37";2014;1101;1118;1094;100685;91879;91806;677428;708921;836333;1243;1316
"37046";"CERE-LA-RONDE";"37";2014;524;524;453;23712;110;0;957518;952971;1188200;0;110
"37047";"CERELLES";"37";2014;1242;1233;1227;115791;110536;109868;497978;530349;596294;-668;0
"37048";"CHAMBON";"37";2014;396;394;337;46513;43755;43560;189562;195501;237217;-129;66
"37049";"CHAMBOURG-SUR-INDRE";"37";2014;1481;1469;1423;111527;103052;100980;908283;810410;785063;-913;1159
"37050";"CHAMBRAY-LES-TOURS";"37";2014;11532;11570;11385;338087;108711;39023;15407645;15757911;15909763;3734;73422
"37051";"CHAMPIGNY-SUR-VEUDE";"37";2014;947;955;902;91284;86156;86727;434916;486331;603726;571;0
"37052";"CHANCAY";"37";2014;1176;1176;1153;137082;130349;130349;578982;664753;777346;0;0
"37053";"CHANCEAUX-PRES-LOCHES";"37";2014;155;148;141;17499;14255;12298;179327;169592;150610;-451;1506
"37054";"CHANCEAUX-SUR-CHOISILLE";"37";2014;3570;3546;3542;374192;344212;342159;2209692;2353935;3047179;-2053;0
"37055";"CHANNAY-SUR-LATHAN";"37";2014;869;867;839;83027;76382;76241;381516;379239;538638;-141;0
"37056";"CHAPELLE-AUX-NAUX";"37";2014;606;619;590;53843;50672;51540;226261;276645;312016;868;0
"37057";"CHAPELLE-BLANCHE-SAINT-MARTIN";"37";2014;736;738;697;79037;74579;74716;340369;428788;499954;137;0
"37058";"CHAPELLE-SUR-LOIRE";"37";2014;1560;1566;1484;187815;177465;177925;654389;685018;885541;460;0
"37059";"CHARENTILLY";"37";2014;1284;1325;1308;109275;105588;108661;671304;687951;692031;3073;0
"37060";"CHARGE";"37";2014;1306;1323;1311;123185;116061;115983;809615;845782;789544;1274;1352
"37061";"CHARNIZAY";"37";2014;621;612;528;77119;71675;70658;328959;339702;515507;-600;417
"37062";"CHATEAU-LA-VALLIERE";"37";2014;1810;1835;1795;249197;233784;234581;1120275;1133726;1501277;1961;1164
"37063";"CHATEAU-RENAULT";"37";2014;5198;5176;5137;783429;717733;710713;3839100;3831278;6010683;-1971;5049
"37064";"CHAUMUSSAY";"37";2014;303;309;237;43958;40934;41183;150597;158615;263691;387;138
"37065";"CHAVEIGNES";"37";2014;739;736;561;51446;46640;46434;343839;376393;450129;-206;0
"37066";"CHEDIGNY";"37";2014;639;628;586;50754;45913;44028;389425;344374;393670;-736;1149
"37067";"CHEILLE";"37";2014;1886;1892;1835;189032;182302;182775;690640;841214;1023828;473;0
"37068";"CHEMILLE-SUR-DEME";"37";2014;748;759;721;95999;92137;92895;350227;373709;496530;758;0
"37069";"CHEMILLE-SUR-INDROIS";"37";2014;274;276;224;41640;35934;34928;200741;226403;263281;129;1135
"37070";"CHENONCEAUX";"37";2014;388;386;354;61038;54634;52912;284966;288074;368580;-129;1593
"37071";"CHEZELLES";"37";2014;157;157;135;24291;23009;22768;88948;93041;121506;0;241
"37072";"CHINON";"37";2014;8791;8832;8527;1122902;957031;897217;12123956;11797397;10159058;3910;63724
"37073";"CHISSEAUX";"37";2014;709;703;641;87529;82611;82202;333818;342339;498729;-409;0
"37074";"CHOUZE-SUR-LOIRE";"37";2014;2298;2303;2134;296698;282674;283078;1020738;1061863;1552980;404;0
"37075";"CIGOGNE";"37";2014;453;454;439;35221;32935;32999;177190;178152;305562;64;0
"37076";"CINAIS";"37";2014;479;474;440;57930;52409;49603;487017;459943;248442;-322;2484
"37077";"CINQ-MARS-LA-PILE";"37";2014;3562;3578;3507;458310;433369;434739;1800066;1806959;2874897;1370;0
"37078";"CIRAN";"37";2014;475;472;434;43146;39910;39717;183337;231726;299901;-193;0
"37079";"CIVRAY-DE-TOURAINE";"37";2014;1937;1938;1888;182167;169263;169342;892687;930577;1154335;79;0
"37080";"CIVRAY-SUR-ESVES";"37";2014;228;224;208;22668;20656;20374;108358;136178;167509;-258;24
"37081";"CLERE-LES-PINS";"37";2014;1479;1479;1437;164488;158181;158181;590920;586003;849859;0;0
"37082";"CONTINVOIR";"37";2014;493;477;428;57632;52667;51636;199353;221626;349579;-1031;0
"37083";"CORMERY";"37";2014;1806;1810;1798;176526;169066;169379;992112;880480;1084526;313;0
"37084";"COUESMES";"37";2014;561;513;488;39206;35815;32072;313173;306706;261687;-3107;636
"37085";"COURCAY";"37";2014;876;869;835;89546;84202;83709;397379;389500;524354;-493;0
"37086";"COURCELLES-DE-TOURAINE";"37";2014;538;525;511;46332;42726;41881;238722;233901;311425;-845;0
"37087";"COURCOUE";"37";2014;285;287;268;27109;25200;25049;151414;165518;180117;129;280
"37088";"COUZIERS";"37";2014;140;134;125;18810;17671;16632;140466;129909;65195;-387;652
"37089";"CRAVANT-LES-COTEAUX";"37";2014;778;771;720;79598;74013;73363;402835;900353;467100;-484;166
"37090";"CRISSAY-SUR-MANSE";"37";2014;122;117;99;18360;16779;16383;62125;64089;96656;-322;74
"37091";"CROIX-EN-TOURAINE";"37";2014;2297;2314;2257;238933;225386;226762;1216072;1265960;1465516;1376;0
"37092";"CROTELLES";"37";2014;698;715;705;44971;42217;43378;341323;347561;457303;1161;0
"37093";"CROUZILLES";"37";2014;601;594;558;37545;33038;31930;333236;350397;342958;-464;644
"37094";"CUSSAY";"37";2014;662;666;593;65301;60336;60606;301944;376858;461550;270;0
"37095";"DAME-MARIE-LES-BOIS";"37";2014;373;384;367;28298;27068;27742;176942;181288;219477;709;35
"37096";"DIERRE";"37";2014;612;620;601;53577;50506;51040;255279;266829;389388;534;0
"37097";"DOLUS-LE-SEC";"37";2014;707;714;694;65776;61342;61556;368367;329787;451732;478;264
"37098";"DRACHE";"37";2014;768;774;752;82419;78260;78675;315032;399391;512432;415;0
"37099";"DRUYE";"37";2014;1013;1012;1002;68224;58361;56061;690739;737131;741887;-72;2228
"37100";"EPEIGNE-LES-BOIS";"37";2014;485;496;455;55730;52083;52792;224524;205983;404386;709;0
"37101";"EPEIGNE-SUR-DEME";"37";2014;208;202;172;26718;24955;24327;113314;98540;167793;-387;241
"37103";"ESVES-LE-MOUTIER";"37";2014;179;174;156;28750;27727;27405;76051;94953;158175;-322;0
"37104";"ESVRES";"37";2014;5603;5875;5823;496872;474856;494781;4093467;3989514;3993610;24744;4819
"37105";"FAYE-LA-VINEUSE";"37";2014;338;338;270;39285;35828;35493;179858;200216;246850;0;335
"37106";"FERRIERE";"37";2014;326;329;312;30777;29490;29683;142668;144012;160963;193;0
"37107";"FERRIERE-LARCON";"37";2014;307;302;260;37204;34449;33739;169054;175914;239270;-322;388
"37108";"FERRIERE-SUR-BEAULIEU";"37";2014;764;763;756;77469;73156;72568;419048;363227;394886;-69;519
"37109";"FONDETTES";"37";2014;10976;11058;10954;1252789;1150603;1146289;8989056;9066046;11679078;8018;12332
"37110";"FRANCUEIL";"37";2014;1443;1460;1398;113235;105287;106579;598254;618898;908374;1292;0
"37111";"GENILLE";"37";2014;1711;1687;1563;193928;157625;155764;870838;1068518;1255438;-1861;0
"37112";"GIZEUX";"37";2014;494;498;454;76464;72256;72514;211952;221318;450222;258;0
"37113";"GRAND-PRESSIGNY";"37";2014;1052;1054;958;145200;135331;135168;575573;599678;874078;145;308
"37114";"GUERCHE";"37";2014;245;241;186;28387;26227;25884;120405;126893;176544;-258;85
"37115";"DESCARTES";"37";2014;3764;3787;3672;276537;194614;178209;3931592;4012356;5148123;1984;18389
"37116";"HERMITES";"37";2014;631;631;597;67003;62751;62751;296234;298622;438807;0;0
"37117";"HOMMES";"37";2014;926;924;889;79668;74286;74144;416761;414308;502313;-142;0
"37118";"HUISMES";"37";2014;1673;1658;1584;168209;150276;140092;2048764;1963730;902382;-1160;9024
"37119";"ILE-BOUCHARD";"37";2014;1746;1714;1646;185063;171926;169439;891896;929987;1345749;-2487;0
"37121";"JAULNAY";"37";2014;293;299;258;26987;25177;25564;129117;143970;216716;387;0
"37122";"JOUE-LES-TOURS";"37";2014;38416;38183;38029;5613202;5104974;5017537;37896980;39000423;45412949;-25889;61548
"37123";"LANGEAIS";"37";2016;4668;4767;4647;456305;488227;497011;3617648;3624284;4644337;8784;0
"37124";"LARCAY";"37";2014;2484;2470;2451;236817;216798;213897;1619713;1552174;1836692;-1143;1758
"37125";"LEMERE";"37";2014;521;528;506;48948;45533;45988;221111;241689;304880;455;0
"37126";"LERNE";"37";2014;349;341;308;53798;49270;46640;347176;326864;211390;-516;2114
"37127";"LIEGE";"37";2014;383;390;372;41251;36751;37202;152056;201124;216047;451;0
"37128";"LIGNIERES-DE-TOURAINE";"37";2014;1330;1341;1313;119909;112847;113673;501414;607115;705160;826;0
"37129";"LIGRE";"37";2014;1170;1169;1107;104176;99460;99386;574638;640374;600460;-74;0
"37130";"LIGUEIL";"37";2014;2321;2291;2247;276380;256852;254427;1130895;1377086;1972703;-2425;0
"37131";"LIMERAY";"37";2014;1341;1356;1305;124561;118568;119696;673486;694292;616359;1128;0
"37132";"LOCHES";"37";2014;7332;7301;7049;837250;747626;732624;6102302;5503337;8123083;-2893;12109
"37133";"LOCHE-SUR-INDROIS";"37";2014;665;670;593;80290;71217;71555;326246;402708;471474;338;0
"37134";"LOUANS";"37";2014;661;655;642;50653;46794;46259;333080;404110;467585;-404;131
"37136";"LOUROUX";"37";2014;546;542;523;59023;57236;56975;235205;289195;397856;-261;0
"37137";"LUBLE";"37";2014;166;166;149;17676;16472;16305;88527;88481;141839;0;167
"37138";"LUSSAULT-SUR-LOIRE";"37";2014;794;813;767;66310;62117;63001;429797;445951;468604;1324;440
"37139";"LUYNES";"37";2014;5334;5334;5269;694268;639160;639160;3463072;3522587;5311595;0;0
"37140";"LUZE";"37";2014;326;313;266;40027;37916;37078;144766;155709;206528;-838;0
"37141";"LUZILLE";"37";2014;1048;1074;998;123170;118170;120060;420320;437932;728425;1890;0
"37142";"MAILLE";"37";2014;609;599;584;68168;62229;60692;353508;341231;417873;-664;873
"37143";"MANTHELAN";"37";2014;1482;1456;1413;144811;132435;130460;567432;722435;1139066;-1975;0
"37144";"MARCAY";"37";2014;551;548;512;41155;36631;33688;576773;552862;274685;-196;2747
"37145";"MARCE-SUR-ESVES";"37";2014;269;267;246;26496;24718;24589;125138;154588;208733;-129;0
"37146";"MARCILLY-SUR-MAULNE";"37";2014;273;273;241;26649;24842;24673;138591;135537;203532;0;169
"37147";"MARCILLY-SUR-VIENNE";"37";2014;581;580;551;59367;55772;55464;295177;286546;350359;-66;242
"37148";"MARIGNY-MARMANDE";"37";2014;626;635;587;60393;56064;56452;317835;349653;411412;603;215
"37149";"MARRAY";"37";2014;500;507;464;35292;33785;34128;240891;241965;276259;452;109
"37150";"MAZIERES-DE-TOURAINE";"37";2014;1343;1332;1301;135805;125581;124656;739320;746192;958820;-825;100
